# Region type : patch outlet
# Faces         : 20
# Area          : 4.36243709e-07
# Scale factor  : 1.00000000e+00
# Weight field  : phi
# Time          	weightedAverage(p)	weightedAverage(U)	weightedAverage(T)
33300           	1.01325000e+05	(1.06097829e+00 -6.65586630e-07 1.22933775e-12)	3.99982971e+02
33400           	1.01325000e+05	(1.06097482e+00 -3.96469371e-07 1.24498729e-12)	3.99982971e+02
33500           	1.01325000e+05	(1.06097444e+00 3.83910732e-07 1.23710210e-12)	3.99982971e+02
33600           	1.01325000e+05	(1.06097772e+00 7.36187245e-07 1.24639107e-12)	3.99982971e+02
33700           	1.01325000e+05	(1.06098093e+00 1.00787710e-07 1.23539594e-12)	3.99982971e+02
33800           	1.01325000e+05	(1.06097945e+00 -7.78050747e-07 1.23854784e-12)	3.99982971e+02
33900           	1.01325000e+05	(1.06097489e+00 -6.44476633e-07 1.22639357e-12)	3.99982971e+02
34000           	1.01325000e+05	(1.06097337e+00 3.19216825e-07 1.24838815e-12)	3.99982971e+02
34100           	1.01325000e+05	(1.06097682e+00 9.54254144e-07 1.22398330e-12)	3.99982971e+02
34200           	1.01325000e+05	(1.06098144e+00 3.31968880e-07 1.25241667e-12)	3.99982971e+02
34300           	1.01325000e+05	(1.06098054e+00 -7.70219311e-07 1.23816608e-12)	3.99982971e+02
34400           	1.01325000e+05	(1.06097544e+00 -8.37437094e-07 1.22300455e-12)	3.99982971e+02
34500           	1.01325000e+05	(1.06097277e+00 1.23510434e-07 1.24883033e-12)	3.99982971e+02
34600           	1.01325000e+05	(1.06097563e+00 9.71403512e-07 1.25116013e-12)	3.99982971e+02
34700           	1.01325000e+05	(1.06098075e+00 5.28973200e-07 1.24058367e-12)	3.99982971e+02
34800           	1.01325000e+05	(1.06098061e+00 -5.87665610e-07 1.23161890e-12)	3.99982971e+02
34900           	1.01325000e+05	(1.06097623e+00 -7.77681070e-07 1.24266235e-12)	3.99982971e+02
35000           	1.01325000e+05	(1.06097362e+00 -1.90359533e-08 1.24195405e-12)	3.99982971e+02
35100           	1.01325000e+05	(1.06097558e+00 7.16959221e-07 1.25161510e-12)	3.99982971e+02
35200           	1.01325000e+05	(1.06097961e+00 4.28295484e-07 1.24607306e-12)	3.99982971e+02
35300           	1.01325000e+05	(1.06097962e+00 -3.61169850e-07 1.22709281e-12)	3.99982971e+02
35400           	1.01325000e+05	(1.06097683e+00 -4.90130983e-07 1.24857447e-12)	3.99982971e+02
35500           	1.01325000e+05	(1.06097501e+00 -3.68990234e-08 1.26334633e-12)	3.99982971e+02
35600           	1.01325000e+05	(1.06097622e+00 4.97439085e-07 1.26998793e-12)	3.99982971e+02
35700           	1.01325000e+05	(1.06097904e+00 3.10938290e-07 1.23062747e-12)	3.99982971e+02
35800           	1.01325000e+05	(1.06097927e+00 -1.92690593e-07 1.24228293e-12)	3.99982971e+02
35900           	1.01325000e+05	(1.06097766e+00 -4.26930811e-07 1.26579657e-12)	3.99982971e+02
36000           	1.01325000e+05	(1.06097558e+00 -2.15418512e-07 1.27209404e-12)	3.99982971e+02
